Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ofbiz13.07/.svn/pristine/ff,2163,2163,0,"100.00"
/ofbiz13.07/applications,64,64,0,"100.00"
/ofbiz13.07/applications/accounting,199,199,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting,68,68,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/agreement,80,80,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/finaccount,544,544,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/invoice,1480,1480,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/ledger,39,39,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/payment,2232,2232,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/period,51,51,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/tax,178,178,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/test,22,22,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/authorizedotnet,354,354,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/clearcommerce,321,321,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/eway,382,382,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/gosoftware,594,594,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/paypal,194,194,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/sagepay,519,519,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/valuelink,772,772,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/thirdparty/worldpay,217,217,0,"100.00"
/ofbiz13.07/applications/accounting/build/classes/org/ofbiz/accounting/util,88,88,0,"100.00"
/ofbiz13.07/applications/accounting/build/lib,3358,3358,0,"100.00"
/ofbiz13.07/applications/accounting/config,28220,28220,0,"100.00"
/ofbiz13.07/applications/accounting/data,5182,5182,0,"100.00"
/ofbiz13.07/applications/accounting/data/helpdata,7841,7841,0,"100.00"
/ofbiz13.07/applications/accounting/documents,39,39,0,"100.00"
/ofbiz13.07/applications/accounting/entitydef,4627,4627,0,"100.00"
/ofbiz13.07/applications/accounting/lib,3,3,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting,81,81,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/admin,181,181,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/agreement,339,339,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/cost,54,54,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/finaccount,1292,1292,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/fixedasset,976,976,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/invoice,1182,1182,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/ledger,3391,3391,0,"100.00"
